DCC190;SOLUÇÃO NUMÉRICA DE EQUAÇÕES DIFERENCIAIS;A;2a 16-18;5a 14-16;4;P16;IURY;09.NUM/OC;Noturno
DCC042;REDES DE COMPUTADORES;A;3a 19-21;6a 19-21;4;P29;PAGANI;10.REDES;Noturno
DCC072;LABORATORIO DE REDES DE COMPUTADORES;A;5a 19-21;;2;P2;ALEX;10.REDES;Noturno
DCC074;AVALIAÇÃO DE DESEMPENHO DE SISTEMAS;A;2a 14-16;4a 14-16;4;P2;ALEX;10.REDES;Diurno
DCC102;SEMINARIO EM COMPUTACAO VI;A;6a 16-18;;2;P37;ROMUALDO;10.REDES;Diurno
DCC144;ADMINISTRAÇÃO DE REDES;A;3a 17-19;6a 17-19;4;P29;PAGANI;10.REDES;Noturno
DCC133;INTRODUÇÃO A SISTEMAS DE INFORMAÇÃO;A;2a 14-16;EAD;4;P31;PRISCILA;11.SI;Diurno
DCC133;INTRODUÇÃO A SISTEMAS DE INFORMAÇÃO;B;2a 19-21;EAD;4;P42;TARCISIO;11.SI;Noturno
DCC145;ASPECTOS ORGANIZACIONAIS DE SISTEMAS DE INFORMAÇÃO;A;2a 21-23;6a 21-23;4;P26;LUIZ FELIPE;11.SI;Noturno
DCC001;ANALISE E PROJETO DE ALGORITMOS;A;2a 16-18;4a 16-18;4;P41;STENIO;12.TEO;Diurno
DCC019;LINGUAGEM DE PROGRAMACAO;A;3a 14-16;5a 16-18;4;P17;JAIRO;12.TEO;Diurno
DCC055;TEORIA DA COMPUTAÇÃO;A;2a 16-18;6a 14-16;4;P30;PASSINI;12.TEO;Diurno
DCC063;LINGUAGENS FORMAIS E AUTÔMATOS;A;2a 19-21;3a 21-23;4;P15;ITAMAR;12.TEO;Noturno
